datetime,temperature_c,humidity_percent,windspeed_kmh
2024-01-01 00:00:00,13.89,70.52,9.68
2024-01-01 01:00:00,18.79,69.26,14.44
2024-01-01 02:00:00,16.78,74.17,15.35
2024-01-01 03:00:00,20.45,67.21,10.57
2024-01-01 04:00:00,20.62,63.81,10.16
2024-01-01 05:00:00,21.63,64.12,12.07
2024-01-01 06:00:00,23.35,52.94,5.57
2024-01-01 07:00:00,19.31,68.84,8.96
2024-01-01 08:00:00,16.2,72.87,10.63
2024-01-01 09:00:00,17.13,67.0,8.64
2024-01-01 10:00:00,17.7,61.31,7.94
2024-01-01 11:00:00,13.39,76.03,7.86
2024-01-01 12:00:00,14.68,68.67,11.15
2024-01-01 13:00:00,8.01,83.12,7.49
2024-01-01 14:00:00,13.71,71.53,11.57
2024-01-01 15:00:00,10.53,69.15,10.52
2024-01-01 16:00:00,12.54,78.55,8.63
2024-01-01 17:00:00,11.22,67.6,8.41
2024-01-01 18:00:00,7.17,71.97,14.1
2024-01-01 19:00:00,8.89,66.69,11.22
2024-01-01 20:00:00,11.28,75.12,11.94
2024-01-01 21:00:00,12.12,72.91,9.42
2024-01-01 22:00:00,11.3,70.81,12.59
2024-01-01 23:00:00,14.04,65.22,8.16
2024-01-02 00:00:00,15.92,67.26,11.75
2024-01-02 01:00:00,18.33,66.07,10.92
2024-01-02 02:00:00,16.78,62.31,7.68
2024-01-02 03:00:00,19.11,61.92,7.22
2024-01-02 04:00:00,17.86,71.75,8.88
2024-01-02 05:00:00,21.45,69.51,15.3
2024-01-02 06:00:00,17.32,66.71,16.28
2024-01-02 07:00:00,23.25,52.95,12.36
2024-01-02 08:00:00,21.65,65.08,8.86
2024-01-02 09:00:00,15.3,78.89,12.98
2024-01-02 10:00:00,15.2,69.46,14.78
2024-01-02 11:00:00,13.04,70.88,11.79
2024-01-02 12:00:00,17.3,70.49,10.59
2024-01-02 13:00:00,11.87,71.03,7.95
2024-01-02 14:00:00,9.94,70.69,11.9
2024-01-02 15:00:00,13.25,62.65,13.28
2024-01-02 16:00:00,12.51,73.03,3.43
2024-01-02 17:00:00,8.6,75.48,13.28
2024-01-02 18:00:00,12.3,70.73,8.91
2024-01-02 19:00:00,9.63,66.48,10.62
2024-01-02 20:00:00,12.93,73.71,9.54
2024-01-02 21:00:00,12.12,73.45,13.09
2024-01-02 22:00:00,13.94,76.44,15.7
2024-01-02 23:00:00,13.54,74.85,9.74
2024-01-03 00:00:00,13.51,68.84,9.14
2024-01-03 01:00:00,17.49,69.47,7.73
2024-01-03 02:00:00,17.27,62.97,9.29
2024-01-03 03:00:00,18.59,69.29,15.68
2024-01-03 04:00:00,20.92,56.95,9.84
2024-01-03 05:00:00,20.9,55.48,10.49
2024-01-03 06:00:00,20.26,64.2,7.59
2024-01-03 07:00:00,20.19,66.38,13.34
2024-01-03 08:00:00,17.18,75.72,16.12
2024-01-03 09:00:00,17.58,65.05,13.77
2024-01-03 10:00:00,15.18,70.13,9.62
2024-01-03 11:00:00,17.18,64.99,10.17
2024-01-03 12:00:00,18.81,68.53,8.43
2024-01-03 13:00:00,16.31,70.72,8.27
2024-01-03 14:00:00,16.53,71.71,8.57
2024-01-03 15:00:00,12.31,73.3,12.48
2024-01-03 16:00:00,6.83,77.49,10.17
2024-01-03 17:00:00,12.62,75.71,10.55
2024-01-03 18:00:00,9.68,79.19,6.73
2024-01-03 19:00:00,9.58,62.98,9.48
2024-01-03 20:00:00,12.85,70.64,11.94
2024-01-03 21:00:00,10.34,67.75,11.03
2024-01-03 22:00:00,13.3,81.48,8.73
2024-01-03 23:00:00,14.79,67.49,9.54
2024-01-04 00:00:00,15.05,68.15,10.27
2024-01-04 01:00:00,18.38,61.84,9.8
2024-01-04 02:00:00,16.6,72.98,6.59
2024-01-04 03:00:00,20.98,62.24,10.65
2024-01-04 04:00:00,18.16,66.3,8.31
2024-01-04 05:00:00,22.12,62.6,11.77
2024-01-04 06:00:00,19.82,70.61,9.87
2024-01-04 07:00:00,23.87,66.17,12.15
2024-01-04 08:00:00,19.31,66.69,8.93
2024-01-04 09:00:00,16.36,64.45,14.04
2024-01-04 10:00:00,18.99,66.88,12.95
2024-01-04 11:00:00,16.53,74.87,11.56
2024-01-04 12:00:00,16.43,58.2,11.06
2024-01-04 13:00:00,14.59,68.52,12.22
2024-01-04 14:00:00,9.8,80.21,4.94
2024-01-04 15:00:00,10.6,83.46,12.84
2024-01-04 16:00:00,13.93,75.65,7.11
2024-01-04 17:00:00,8.67,73.79,6.77
2024-01-04 18:00:00,12.43,75.75,11.2
2024-01-04 19:00:00,9.08,73.03,12.98
2024-01-04 20:00:00,10.44,76.74,6.38
